giveaways,league,games_played,game_winning_goals,age,faceoff_loses,total_shots,shots,points,hits,power_play_assists,total_ice_time,team,takeaways,faceoff_percentage,awards,shotsPercentage,even_strength_goals,assists,plus_minus,goals,faceoff_wins,shorthanded_goals,year,blocks,average_ice_time,power_play_goals,pim,shorthanded_assists,even_strength_assists
0,NHL,79,1,23,0,0,115,34,0,12,1282,COL,0,0,"[{'link': '/awards/voting-2004.html#calder', 'name': 'Calder-4'}]",8.7,8,24,7,10,0,0,2003-04,0,16:14,2,28,0,12
0,NHL,82,1,25,0,0,154,49,0,22,1519,COL,0,0,[],9.1,8,35,5,14,0,0,2005-06,0,18:31,6,44,0,13
0,NHL,71,3,26,0,0,128,44,0,20,1261,COL,0,0,"[{'link': '/awards/voting-2007.html#AS', 'name': 'AS-28'}]",10.9,6,30,0,14,0,0,2006-07,0,17:46,8,24,0,10
54,NHL,81,1,27,0,314,163,32,59,15,1593,COL,31,0,"[{'link': '/awards/voting-2008.html#norris', 'name': 'Norris-17'}]",3.7,1,26,2,6,0,0,2007-08,121,19:40,5,26,0,11
53,NHL,75,1,28,0,315,146,39,58,15,1616,COL,22,0,[],8.2,6,27,-19,12,0,0,2008-09,106,21:33,6,31,0,12
18,NHL,59,2,29,0,183,96,31,40,17,1089,COL,23,0,[],6.3,3,25,-2,6,0,0,2009-10,89,18:28,3,30,0,8
36,NHL,76,0,30,0,357,163,46,59,15,1673,COL,32,0,[],3.7,3,40,-9,6,0,0,2010-11,153,22:01,3,35,0,25
51,NHL,66,0,31,0,238,106,27,68,9,1409,TOR,16,0,[],6.6,3,20,-14,7,0,0,2011-12,111,21:21,4,20,0,11
22,NHL,32,0,32,1,95,47,11,45,1,601,TOR,8,0.0,[],4.3,2,9,-1,2,0,0,2012-13,52,18:46,0,4,0,8
18,NHL,41,0,33,0,114,56,9,50,3,806,TOT,14,100.0,[],3.6,1,7,5,2,1,0,2013-14,80,19:39,1,8,0,4
2,NHL,6,0,33,0,11,5,0,15,0,102,TOR,1,100.0,[],0.0,0,0,-2,0,1,0,2013-14,10,17:04,0,0,0,0
16,NHL,35,0,33,0,103,51,9,35,3,703,CAR,13,0,[],3.9,1,7,7,2,0,0,2013-14,70,20:06,1,8,0,4
38,NHL,57,0,34,0,194,90,22,71,7,1091,CAR,19,0,[],2.2,2,20,-9,2,0,0,2014-15,74,19:09,0,14,0,13
44,NHL,81,1,35,0,232,111,21,81,2,1645,TOT,26,0,[],5.4,4,15,-10,6,0,1,2015-16,127,20:18,1,18,0,13
32,NHL,64,1,35,0,204,92,15,64,2,1316,CAR,26,0,[],6.5,4,9,-3,6,0,1,2015-16,96,20:34,1,16,0,7
12,NHL,17,0,35,0,28,19,6,17,0,329,BOS,0,0,[],0.0,0,6,-7,0,0,0,2015-16,31,19:19,0,2,0,6
8,NHL,36,0,36,0,86,36,5,25,3,583,BOS,11,100.0,[],0.0,0,5,1,0,2,0,2016-17,41,16:12,0,4,0,2
