year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1975-76,15,12,0,2,0,Sweden-3,22,IK Graip Slite,14
1976-77,16,19,0,12,0,Sweden-3,20,Roma IF Romakloster,31
1977-78,17,15,37,4,0,Sweden-2,25,Karlskrona AIK,19
1977-78,17,3,2,1,0,EJC-A,5,Sweden,4
1978-79,18,23,8,9,0,Sweden-2,23,Karlskrona AIK,32
1978-79,18,0,0,2,0,WJC-A,6,Sweden,2
1979-80,19,15,20,4,0,Sweden,36,Farjestads BK Karlstad,19
1979-80,19,7,2,2,0,WJC-A,5,Sweden,9
1980-81,20,23,14,6,0,Sweden,36,Farjestads BK Karlstad,29
1981-82,21,26,28,15,0,Sweden,36,Farjestads BK Karlstad,41
1981-82,21,8,8,3,0,Nat-Tm,21,Sweden,11
1981-82,21,3,6,1,0,WEC-A,8,Sweden,4
1982-83,22,42,29,34,0,Sweden,36,Farjestads BK Karlstad,76
1982-83,22,2,8,2,0,Nat-Tm,11,Sweden,4
1984-85,24,6,2,4,0,Can-Cup,8,Sweden,10
1986-87,26,5,4,4,0,WEC-A,8,Sweden,9
1989-90,29,22,24,31,0,Sweden,40,Farjestads BK Karlstad,53
1989-90,29,4,10,7,0,WEC-A,10,Sweden,11
1990-91,30,33,16,25,0,Sweden,40,Farjestads BK Karlstad,58
1990-91,30,2,6,7,0,EJC-A,10,Sweden,9
1991-92,31,37,14,29,0,Sweden,40,Farjestads BK Karlstad,66
1991-92,31,4,0,4,0,Olympics,8,Sweden,8
1992-93,32,25,28,26,0,Sweden,40,Farjestads BK Karlstad,51
1993-94,33,9,12,11,0,Sweden,22,Farjestads BK Karlstad,20
1993-94,33,4,2,5,0,Olympics,8,Sweden,9
1994-95,34,13,58,25,0,Sweden,39,Farjestads BK Karlstad,38
1995-96,35,17,37,31,0,Sweden,40,Farjestads BK Karlstad,48
