giveaways,league,games_played,game_winning_goals,age,faceoff_loses,total_shots,shots,points,hits,power_play_assists,total_ice_time,team,takeaways,faceoff_percentage,awards,shotsPercentage,even_strength_goals,assists,plus_minus,goals,faceoff_wins,shorthanded_goals,year,blocks,average_ice_time,power_play_goals,pim,shorthanded_assists,even_strength_assists
0,NHL,3,0,22,0,4,1,0,0,0,31,NYI,2,0,[],0.0,0,0,2,0,0,0,2008-09,3,10:10,0,2,0,0
22,NHL,46,0,23,1,100,43,7,36,0,924,NYI,40,0.0,[],2.3,1,6,4,1,0,0,2009-10,94,20:05,0,20,0,6
34,NHL,60,1,24,0,189,72,27,38,11,1405,NYI,48,0,[],5.6,3,23,9,4,0,0,2010-11,157,23:25,1,37,0,12
56,NHL,75,0,25,0,202,71,19,48,1,1753,NYI,50,0,[],7.0,4,14,-5,5,0,0,2011-12,185,23:22,1,26,0,13
36,NHL,0,1,26,0,112,45,12,26,2,1129,NYI,24,0,[],6.7,2,9,-2,3,0,0,2012-13,123,23:31,1,20,0,7
60,NHL,82,2,27,0,263,92,28,69,9,2020,TOT,23,0,[],4.3,2,24,-22,4,0,0,2013-14,242,24:38,2,50,1,14
53,NHL,63,2,27,0,209,72,24,48,9,1602,NYI,22,0,[],5.6,2,20,-19,4,0,0,2013-14,198,25:25,2,34,1,10
7,NHL,19,0,27,0,54,20,4,21,0,418,PHI,1,0,[],0.0,0,4,-3,0,0,0,2013-14,44,22:00,0,16,0,4
25,NHL,58,0,28,0,152,62,12,35,4,1161,PHI,12,0,[],3.2,1,10,-5,2,0,0,2014-15,86,20:01,1,41,0,6
20,NHL,28,0,29,0,59,20,8,14,2,563,PHI,4,0,[],5.0,1,7,10,1,0,0,2015-16,72,20:07,0,6,0,5
50,NHL,73,0,30,0,159,65,18,39,0,1468,PHI,8,0,[],3.1,2,16,-5,2,0,0,2016-17,151,20:06,0,26,1,15
