league,games_played,game_winning_goals,age,shots,points,power_play_assists,total_ice_time,team,awards,shotsPercentage,even_strength_goals,assists,plus_minus,goals,shorthanded_goals,year,average_ice_time,power_play_goals,pim,shorthanded_assists,even_strength_assists
NHL,79,1,19,107,29,2,,NYR,[],12.1,9,16,-8,13,0,1989-90,,4,305,0,14
NHL,71,2,20,91,22,1,,NYR,[],13.2,12,10,-8,12,0,1990-91,,0,252,0,9
NHL,32,0,21,28,11,0,,TOT,[],14.3,4,7,6,4,0,1991-92,,0,79,0,7
NHL,15,0,21,9,4,0,,EDM,[],11.1,1,3,-1,1,0,1991-92,,0,36,0,3
NHL,17,0,21,19,7,0,,NJD,[],15.8,3,4,7,3,0,1991-92,,0,43,0,4
NHL,34,0,22,19,7,0,,NJD,[],21.1,4,3,3,4,0,1992-93,,0,56,0,3
NHL,82,0,23,100,23,1,,OTT,[],7.0,7,16,-33,7,0,1993-94,,0,166,1,14
NHL,23,1,24,21,8,0,,OTT,[],14.3,3,5,6,3,0,1994-95,,0,35,0,5
NHL,64,0,25,51,5,0,,OTT,[],3.9,2,3,-7,2,0,1995-96,,0,171,0,3
NHL,68,2,26,61,14,0,,BOS,[],9.8,6,8,-8,6,0,1996-97,,0,155,0,8
NHL,3,0,27,0,0,0,,TBL,[],0,0,0,0,0,0,1997-98,,0,7,0,0
