year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1943-44,18,8,2,8,0,QJHL,9,Montreal Jr. Royals,16
1943-44,18,3,0,5,0,TMHL,3,Toronto Fuels,8
1944-45,19,14,2,9,0,QJHL,13,Montreal Jr. Royals,23
1944-45,19,11,6,6,0,MCHL,14,Montreal RCAF,17
1944-45,19,0,0,0,0,QSHL,2,Montreal Royals,0
1946-47,21,16,6,19,0,QSHL,31,Montreal Royals,35
1947-48,22,18,21,49,0,QSHL,46,Montreal Royals,67
1948-49,23,35,40,60,0,QSHL,64,Montreal Royals,95
1949-50,24,21,55,36,0,QSHL,60,Montreal Royals,57
1950-51,25,25,54,24,0,QMHL,60,Montreal Royals,49
1951-52,26,29,10,37,0,QMHL,56,Montreal Royals,66
1952-53,27,15,42,34,0,QMHL,60,Montreal Royals,49
1953-54,28,0,8,3,0,QHL,13,Montreal Royals,3
