year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1973-74,19,14,36,14,0,WCHA,36,University of Michigan,28
1974-75,20,22,44,24,0,WCHA,40,University of Michigan,46
1975-76,21,37,42,24,0,WCHA,42,University of Michigan,61
1976-77,22,38,51,35,0,WCHA,45,University of Michigan,73
1978-79,24,4,6,4,0,CHL,13,Oklahoma City Stars,8
1980-81,26,19,12,13,0,CHL,22,Tulsa Oilers,32
1981-82,27,54,60,35,0,CHL,80,Tulsa Oilers,89
1982-83,28,26,36,31,0,Austria,31,Vienna EV,57
1984-85,30,36,0,18,0,Swiss-2,48,SC Rapperswil-Jona,54
1984-85,30,1,2,7,0,AHL,6,Binghamton Whalers,8
