age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
22,,9.1,1,0,0,NHL,16,0,1991-92,0,11,1,,0,36,,CHI,1
23,,0.0,0,0,1,NHL,4,0,1992-93,0,6,0,,0,12,,CHI,0
27,,0.0,0,0,-3,NHL,3,0,1996-97,0,2,0,,0,4,,EDM,0
28,,0.0,0,0,1,NHL,6,0,1997-98,0,5,0,,0,10,,SJS,0
29,,0.0,0,0,0,NHL,6,0,1998-99,0,7,0,16:41,0,4,100,SJS,0
30,,12.5,2,1,2,NHL,11,0,1999-00,0,16,2,18:40,0,12,205,SJS,3
31,,0.0,0,1,3,NHL,5,0,2000-01,0,10,0,17:00,0,2,85,SJS,1
32,,9.1,1,1,-1,NHL,12,0,2001-02,0,11,1,15:29,0,10,186,SJS,2
33,,0.0,0,0,1,NHL,7,0,2002-03,0,3,0,16:02,0,4,112,COL,0
34,,0.0,0,0,0,NHL,13,0,2003-04,0,2,0,14:31,0,8,189,TOR,0
