year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1975-76,18,15,245,19,0,High-SK,45,Notre Dame Hounds,34
1976-77,19,33,318,41,0,WCJHL,68,Flin Flon Bombers,74
1977-78,20,35,323,65,0,WCJHL,68,Flin Flon Bombers,100
1978-79,21,13,151,15,0,AHL,77,New Haven Nighthawks,28
1979-80,22,9,198,20,0,AHL,57,New Haven Nighthawks,29
1980-81,23,10,122,9,0,AHL,42,New Haven Nighthawks,19
1980-81,23,1,18,1,0,CHL,7,Wichita Wind,2
1981-82,24,15,110,12,0,CHL,48,Wichita Wind,27
1982-83,25,16,176,30,0,IHL,42,Flint Generals,46
1983-84,26,25,211,31,0,IHL,81,2 Teams,56
1983-84,26,2,39,3,0,IHL,12,Flint Generals,5
1983-84,26,23,172,28,0,IHL,69,Kalamazoo Wings,51
