year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1923-24,14,0,1,0,0,M-Cup,7,Calgary Canadians,0
1924-25,15,0,2,0,0,M-Cup,2,Calgary Canadians,0
1925-26,16,6,4,2,0,M-Cup,9,Calgary Canadians,8
1926-27,17,1,0,0,0,PrHL,2,Calgary Tigers,1
1929-30,20,2,13,1,0,IHL,7,Buffalo Bisons,3
1930-31,21,1,0,3,0,IHL,6,Buffalo Bisons,4
1931-32,22,3,2,2,0,IHL,6,Buffalo Bisons,5
1934-35,25,0,2,1,0,IHL,2,Syracuse Stars,1
1935-36,26,1,0,0,0,NWHL,3,Portland Buckaroos,1
1935-36,26,3,0,1,0,NWHL,2,Vancouver Lions,4
1936-37,27,3,2,3,0,PCHL,3,Portland Buckaroos,6
1937-38,28,2,7,0,0,PCHL,2,Portland Buckaroos,2
1938-39,29,3,2,0,0,PCHL,5,Portland Buckaroos,3
1939-40,30,1,2,2,0,PCHL,5,Portland Buckaroos,3
1943-44,34,3,0,1,0,NWIHL,2,Portland Oilers,4
