year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1927-28,19,12,81,5,0,TBSHL,20,Fort William Forts,17
1928-29,20,3,29,1,0,Can-Am,20,Windsor Bulldogs,4
1929-30,21,3,34,7,0,IHL,37,2 Teams,10
1929-30,21,0,2,1,0,Can-Pro,9,2 Teams,1
1929-30,21,1,29,0,0,IHL,12,London Panthers,1
1929-30,21,2,5,7,0,IHL,25,Toronto Millionaires,9
1929-30,21,0,0,0,0,Can-Pro,1,Galt Terriers,0
1929-30,21,0,2,1,0,Can-Pro,8,Brantford Indians,1
1930-31,22,2,42,3,0,IHL,42,2 Teams,5
1930-31,22,0,8,0,0,IHL,4,Pittsburgh Yellowjackets,0
1930-31,22,2,34,3,0,IHL,38,Cleveland Indians,5
1931-32,23,4,54,5,0,IHL,46,Syracuse Stars,9
1933-34,25,7,51,8,0,Can-Am,39,New Haven Eagles,15
1934-35,26,13,32,11,0,Can-Am,44,New Haven Eagles,24
1935-36,27,6,33,9,0,Can-Am,42,Springfield Indians,15
1936-37,28,1,77,9,0,IAHL,45,Springfield Indians,10
1937-38,29,5,22,5,0,IAHL,43,Springfield Indians,10
