league,games_played,game_winning_goals,age,shots,points,power_play_assists,total_ice_time,team,awards,shotsPercentage,even_strength_goals,assists,plus_minus,goals,shorthanded_goals,year,average_ice_time,power_play_goals,pim,shorthanded_assists,even_strength_assists
NHL,9,0,22,4,1,0,,CBH,[],0.0,0,1,3,0,0,1968-69,,0,12,0,1
NHL,17,0,23,7,0,0,,CBH,[],0.0,0,0,-8,0,0,1969-70,,0,23,0,0
NHL,2,0,24,1,0,0,,CBH,[],0.0,0,0,0,0,0,1970-71,,0,0,0,0
NHL,39,0,25,18,3,0,,BUF,[],0.0,0,3,-12,0,0,1971-72,,0,18,0,3
NHL,1,0,26,0,0,0,,BUF,[],0,0,0,0,0,0,1972-73,,0,0,0,0
NHL,72,0,27,101,14,1,,CGS,[],2.0,1,12,-31,2,0,1973-74,,1,49,0,11
WHA,69,0,28,208,28,0,,EDO,[],3.8,7,20,18,8,0,1974-75,,1,47,0,0
WHA,68,1,29,50,13,0,,CLC,[],6.0,2,10,-8,3,0,1975-76,,1,44,0,0
WHA,61,0,30,59,12,0,,TOT,[],3.4,2,10,14,2,0,1976-77,,0,39,0,0
WHA,42,0,30,52,11,0,,MNF,[],3.8,2,9,19,2,0,1976-77,,0,28,0,0
WHA,19,0,30,7,1,0,,BRB,[],0.0,0,1,-5,0,0,1976-77,,0,11,0,0
WHA,14,0,31,20,5,0,,EDO,[],5.0,1,4,3,1,0,1977-78,,0,4,0,0
