year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1945-46,17,4,6,1,0,High-ON,8,St. Michael\'s Buzzers,5
1946-47,18,11,8,13,0,OHA-Jr.,30,St. Michael\'s Majors,24
1947-48,19,16,45,26,0,OHA-Sr.,36,Toronto Marlboros,42
1948-49,20,11,38,19,0,OHA-Sr.,36,Toronto Marlboros,30
1949-50,21,12,41,20,0,OHA-Sr.,36,Toronto Marlboros,32
1950-51,22,8,23,6,0,AHL,37,Pittsburgh Hornets,14
1950-51,22,9,16,5,0,USHL,14,Tulsa Oilers,14
1951-52,23,21,43,22,0,AHL,60,Pittsburgh Hornets,43
1952-53,24,13,59,24,0,AHL,51,Pittsburgh Hornets,37
1953-54,25,8,72,16,0,AHL,55,Pittsburgh Hornets,24
1954-55,26,30,97,31,0,AHL,60,Cleveland Barons,61
1955-56,27,12,72,12,0,AHL,61,Cleveland Barons,24
1956-57,28,20,83,13,0,AHL,57,Cleveland Barons,33
1957-58,29,11,53,15,0,AHL,46,Cleveland Barons,26
1958-59,30,17,74,27,0,EOHL,45,Belleville McFarlands,44
1958-59,30,4,10,7,0,WEC-A,7,Canada,11
1959-60,31,7,29,18,0,IHL,23,Milwaukee Falcons,25
1962-63,34,19,46,37,0,EHL,58,Nashville Dixie Flyers,56
1963-64,35,0,0,0,0,EHL,1,Nashville Dixie Flyers,0
