year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1908-09,15,4,61,0,0,ECHA,10,Montreal Shamrocks,4
1908-09,15,4,6,0,0,Exhib.,2,Canadian Soo Pros,4
1909-10,16,4,28,0,0,OPHL,8,Berlin Professionals,4
1909-10,16,0,15,0,0,NHA,6,Cobalt Silver Kings,0
1910-11,17,2,0,0,0,OPHL,15,Waterloo Colts,2
1911-12,18,4,26,0,0,MPHL,11,Halifax Crescents,4
1912-13,19,12,62,0,0,Exhib.,20,Toronto Tecumsehs,12
1913-14,20,7,36,6,0,NHA,20,Toronto Ontarios,13
1914-15,21,4,67,1,0,NHA,18,Toronto Shamrocks,5
1915-16,22,10,119,7,0,NHA,24,Montreal Canadiens,17
1916-17,23,11,36,3,0,NHA,12,Toronto 228th Battalion,14
