year,age,goals,pim,assists,plus_minus,league,games_played,team,points
2007-08,14,9,2,3,0,Alberta Cup,5,Team Edmonton North,12
2008-09,15,21,38,18,0,AMHL,33,SSAC Athletics Midget AAA,39
2008-09,15,0,0,0,-2,WHL,4,Prince Albert Raiders,0
2009-10,16,9,27,15,-10,WHL,68,Prince Albert Raiders,24
2009-10,16,1,4,2,0,WHC-17,5,Canada Pacific U17,3
2010-11,17,32,53,49,-4,WHL,70,Prince Albert Raiders,81
2010-11,17,0,2,6,-3,WJC-18,7,Canada U18,6
2011-12,18,0,12,0,-2,AHL,7,Rockford IceHogs,0
2011-12,18,31,48,40,-10,WHL,69,Prince Albert Raiders,71
2012-13,19,0,0,0,-2,Jr Super Ser,2,WHL All-Stars,0
2012-13,19,0,0,0,-1,AHL,5,Rockford IceHogs,0
2012-13,19,25,43,42,4,WHL,65,Prince Albert Raiders,67
2012-13,19,0,2,0,-1,WJC-20,6,Canada U20,0
2013-14,20,18,46,19,-12,AHL,76,Rockford IceHogs,37
2014-15,21,23,23,21,14,AHL,63,Rockford IceHogs,44
2015-16,22,25,33,23,-4,AHL,64,Rockford IceHogs,48
2016-17,23,9,29,30,-17,AHL,79,2 Teams,39
2016-17,23,6,23,22,-17,AHL,58,Rockford IceHogs,28
2016-17,23,3,6,8,0,AHL,21,Texas Stars,11
