year,age,goals,pim,assists,plus_minus,league,games_played,team,points
2002-03,20,0,6,0,-6,Russia,11,Chelyabinsk Mechel,0
2004-05,22,5,42,6,21,Rus-1,44,Chelyabinsk Mechel,11
2005-06,23,4,54,5,0,Russia,50,Cherepovets Severstal,9
2006-07,24,10,115,9,0,Russia,49,Cherepovets Severstal,19
2007-08,25,6,89,19,0,Russia,41,Kazan Ak-Bars,25
2008-09,26,8,64,11,22,KHL,48,Kazan Ak-Bars,19
2009-10,27,2,40,9,4,KHL,48,Kazan Ak-Bars,11
2010-11,28,4,54,16,26,KHL,49,Kazan Ak-Bars,20
2011-12,29,5,36,19,6,KHL,45,Kazan Ak-Bars,24
2012-13,30,6,44,20,22,KHL,49,Kazan Ak-Bars,26
2013-14,31,3,55,21,8,KHL,50,Kazan Ak-Bars,24
2014-15,32,3,26,13,12,KHL,43,Kazan Ak-Bars,16
