year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1951-52,17,9,2,4,0,WCJHL,9,Edmonton Oil Kings,13
1952-53,18,5,6,8,0,WCJHL,9,Edmonton Oil Kings,13
1952-53,18,0,0,1,0,WHL,2,Edmonton Flyers,1
1953-54,19,10,10,15,0,WCJHL,10,Edmonton Oil Kings,25
1953-54,19,7,10,17,0,M-Cup,14,Edmonton Oil Kings,24
1954-55,20,2,0,8,0,WHL,9,Edmonton Flyers,10
1955-56,21,1,2,3,0,WHL,3,Edmonton Flyers,4
1956-57,22,5,2,3,0,WHL,8,Edmonton Flyers,8
1958-59,24,0,2,1,0,WHL,3,Edmonton Flyers,1
1962-63,28,6,4,7,0,AHL,13,Buffalo Bisons,13
1963-64,29,1,2,4,0,CPHL,6,St. Louis Braves,5
1964-65,30,1,2,4,1,AHL,9,Buffalo Bisons,5
