age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
21,,0.0,0,0,-1,NHL,3,0,1974-75,0,1,0,,0,2,,NYR,0
23,,25.0,5,4,4,NHL,13,0,1976-77,1,20,5,,0,0,,BOS,9
24,,18.5,5,2,-3,NHL,0,0,1977-78,2,27,5,,0,0,,BOS,7
25,,15.4,2,8,3,NHL,11,0,1978-79,1,26,4,,2,0,,BOS,12
26,,18.2,4,2,-2,NHL,10,0,1979-80,0,22,4,,0,5,,BOS,6
27,,0.0,0,1,-8,NHL,3,0,1980-81,0,8,0,,0,2,,BOS,1
28,,20.7,4,9,7,NHL,11,0,1981-82,0,29,6,,2,0,,BOS,15
29,,25.6,6,22,13,NHL,17,1,1982-83,1,43,11,,4,6,,BOS,33
30,,0.0,0,0,-4,NHL,3,0,1983-84,0,4,0,,0,0,,BOS,0
31,,23.1,3,0,1,NHL,5,0,1984-85,0,13,3,,0,0,,BOS,3
33,,33.3,0,2,-1,NHL,4,1,1986-87,0,6,2,,1,0,,BOS,4
34,,27.8,4,5,4,NHL,19,1,1987-88,3,18,5,,0,4,,BOS,10
