year,age,goals,pim,assists,plus_minus,league,games_played,team,points
2003-04,17,4,4,4,0,Svk-U18,6,HK VTJ Farmakol Presov U18,8
2003-04,17,6,44,10,0,Slovak-Jr.,23,HK VTJ Farmakol Presov Jr.,16
2004-05,18,6,44,10,0,Slovak-Jr.,23,PHK Presov Jr.,16
2004-05,18,3,24,1,0,Slovak-2,32,PHK Presov,4
2005-06,19,3,86,9,-12,WHL,62,Red Deer Rebels,12
2005-06,19,0,8,3,0,WJC-A,6,Slovakia,3
2006-07,20,7,91,19,2,WHL,53,Prince George Cougars,26
2006-07,20,1,4,0,0,WJC-A,6,Slovakia,1
2007-08,21,1,68,15,9,AHL,68,Norfolk Admirals,16
2008-09,22,2,58,13,-4,AHL,61,Norfolk Admirals,15
2009-10,23,2,67,16,6,AHL,75,Norfolk Admirals,18
2009-10,23,1,4,0,-1,WC-A,6,Slovakia,1
2010-11,24,1,107,8,2,AHL,66,Norfolk Admirals,9
2011-12,25,1,37,4,0,KHL,37,Lev Poprad,5
2011-12,25,0,14,3,0,Sweden,13,Timra IK,3
2011-12,25,1,4,1,0,Sweden-Q,9,Timra IK,2
2012-13,26,2,16,0,0,KHL,15,HC Slovan Bratislava,2
2012-13,26,0,4,1,-5,WC-A,8,Slovakia,1
