year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1981-82,16,8,6,14,0,QAAA,11,Lac St-Louis Lions,22
1982-83,17,1,0,0,0,QMJHL,5,Laval Voisins,1
1983-84,18,4,2,5,0,QMJHL,10,Laval Voisins,9
1983-84,18,3,0,2,0,M-Cup,3,Laval Voisins,5
1985-86,20,14,12,20,0,QMJHL,14,Laval Titan,34
1986-87,21,3,6,6,0,IHL,10,Saginaw Generals,9
1989-90,24,3,6,4,0,IHL,5,Peoria Rivermen,7
1990-91,25,10,32,16,0,IHL,19,Peoria Rivermen,26
1991-92,26,5,8,14,0,IHL,10,Peoria Rivermen,19
1992-93,27,1,4,4,0,IHL,4,Milwaukee Admirals,5
1995-96,30,4,8,11,0,IHL,12,Peoria Rivermen,15
1996-97,31,0,2,1,0,IHL,2,Milwaukee Admirals,1
1997-98,32,0,6,1,0,IHL,3,Manitoba Moose,1
1998-99,33,0,2,1,0,Italy,1,HC Asiago,1
1999-00,34,4,22,5,0,Swiss-2,9,EHC Biel-Bienne,9
2001-02,36,8,24,23,0,QSPHL,18,Laval Chiefs,31
