year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1913-14,18,5,0,0,0,MHL-Pro,10,Selkirk Fishermen,5
1915-16,20,7,8,2,0,WSrHL,8,Winnipeg 61st Battalion,9
1919-20,24,6,6,5,0,MHL-Sr.,9,Selkirk Fishermen,11
1920-21,25,9,2,4,0,MHL-Sr.,10,Winnipeg Falcons,13
1921-22,26,10,4,2,0,MHL-Sr.,5,Selkirk Fishermen,12
1921-22,26,8,4,2,0,WCHL,17,Edmonton Eskimos,10
1922-23,27,10,5,2,0,WCHL,26,Edmonton Eskimos,12
1923-24,28,1,2,2,0,WCHL,23,Edmonton Eskimos,3
1924-25,29,5,11,2,0,WCHL,27,Edmonton Eskimos,7
1926-27,31,20,18,6,0,PrHL,30,Regina Capitals,26
1927-28,32,7,8,3,0,AHA,32,Duluth Hornets,10
1928-29,33,10,10,3,0,AHA,37,Duluth Hornets,13
1929-30,34,9,10,4,0,AHA,45,St. Paul Saints,13
1930-31,35,6,2,12,0,AHA,42,Buffalo Majors,18
1931-32,36,5,8,2,0,AHA,40,2 Teams,7
1931-32,36,3,6,2,0,AHA,24,Buffalo Majors,5
1931-32,36,2,2,0,0,AHA,16,Duluth Hornets,2
