giveaways,league,games_played,game_winning_goals,age,faceoff_loses,total_shots,shots,points,hits,power_play_assists,total_ice_time,team,takeaways,faceoff_percentage,awards,shotsPercentage,even_strength_goals,assists,plus_minus,goals,faceoff_wins,shorthanded_goals,year,blocks,average_ice_time,power_play_goals,pim,shorthanded_assists,even_strength_assists
3,NHL,22,0,24,3,50,35,9,14,0,266,LAK,5,25.0,[],14.3,5,4,2,5,1,0,2007-08,21,12:05,0,4,0,4
1,NHL,7,1,25,0,11,6,1,2,0,101,LAK,1,0,[],16.7,1,0,-4,1,0,0,2008-09,4,14:30,0,2,0,0
25,NHL,82,5,26,1,349,208,48,113,7,1364,NYI,54,75.0,"[{'link': '/awards/voting-2010.html#byng', 'name': 'Byng-45'}]",14.4,22,18,-1,30,3,0,2009-10,52,16:38,8,16,0,11
21,NHL,82,3,27,4,399,237,53,84,6,1547,NYI,46,55.6,[],13.1,22,22,-10,31,5,0,2010-11,47,18:52,9,24,0,16
32,NHL,82,5,28,2,358,219,69,33,10,1583,NYI,57,50.0,"[{'link': '/awards/voting-2012.html#AS', 'name': 'AS-8'}, {'link': '/awards/voting-2012.html#byng', 'name': 'Byng-3'}]",16.4,22,33,1,36,2,0,2011-12,40,19:18,14,6,0,23
15,NHL,47,0,29,0,256,154,44,24,7,900,NYI,20,100.0,"[{'link': '/awards/voting-2013.html#AS', 'name': 'AS-9'}, {'link': '/awards/voting-2013.html#byng', 'name': 'Byng-3'}]",9.7,7,29,-3,15,1,0,2012-13,28,19:09,8,4,0,22
14,NHL,75,5,30,7,291,176,51,46,10,1348,TOT,32,22.2,[],13.1,14,28,2,23,2,0,2013-14,43,17:58,9,34,0,18
1,NHL,11,0,30,3,44,28,9,4,2,194,NYI,6,0.0,[],21.4,1,3,3,6,0,0,2013-14,9,17:39,5,6,0,1
11,NHL,44,2,30,3,180,105,29,32,6,824,BUF,22,25.0,[],10.5,8,18,-8,11,1,0,2013-14,27,18:44,3,20,0,12
2,NHL,20,3,30,1,67,43,13,10,2,329,MIN,4,50.0,[],14.0,5,7,7,6,1,0,2013-14,7,16:27,1,8,0,5
21,NHL,77,2,31,9,253,156,41,34,8,1362,BUF,26,59.1,"[{'link': '/awards/voting-2015.html#byng', 'name': 'Byng-7'}]",8.3,10,28,-11,13,13,0,2014-15,49,17:41,3,4,0,20
15,NHL,81,1,32,5,182,111,21,45,5,964,BUF,18,0.0,[],7.2,6,13,-5,8,0,0,2015-16,23,11:54,2,16,0,8
12,NHL,81,2,33,3,200,134,32,37,7,940,BUF,18,25.0,[],10.4,3,18,-4,14,1,0,2016-17,18,11:36,11,10,0,11
