year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1984-85,17,16,34,15,0,WHL,66,New Westminster Bruins,31
1985-86,18,24,55,31,0,WHL,65,New Westminster Bruins,55
1986-87,19,37,61,52,0,WHL,71,2 Teams,89
1986-87,19,24,43,44,0,WHL,53,New Westminster Bruins,68
1986-87,19,13,18,8,0,WHL,18,Kamloops Blazers,21
1987-88,20,21,35,38,0,WHL,38,Kamloops Blazers,59
1988-89,21,0,0,0,0,ECHL,2,Knoxville Cherokees,0
1988-89,21,12,12,16,0,IHL,43,2 Teams,28
1988-89,21,9,12,14,0,IHL,32,Flint Spirits,23
1988-89,21,3,0,2,0,IHL,11,Muskegon Lumberjacks,5
1989-90,22,16,19,26,0,IHL,58,2 Teams,42
1989-90,22,14,17,21,0,IHL,52,Muskegon Lumberjacks,35
1989-90,22,2,2,5,0,IHL,6,Fort Wayne Komets,7
1990-91,23,9,25,27,0,IHL,48,Muskegon Lumberjacks,36
1991-92,24,15,24,27,0,IHL,70,Muskegon Lumberjacks,42
1992-93,25,5,8,17,0,AHL,35,Hershey Bears,22
1993-94,26,13,18,9,0,IHL,55,Kalamazoo Wings,22
1994-95,27,7,20,9,0,IHL,48,Peoria Rivermen,16
1995-96,28,2,16,5,0,IHL,42,Peoria Rivermen,7
1996-97,29,7,28,16,0,Britain,36,Sheffield Steelers,23
1997-98,30,0,8,0,0,Austria,3,VEU Feldkirch,0
1997-98,30,0,0,0,0,EuroHL,1,VEU Feldkirch,0
1997-98,30,4,2,9,0,Britain,28,Newcastle Cobras,13
1997-98,30,0,14,1,0,ECHL,4,Peoria Rivermen,1
1998-99,31,1,10,4,0,BH-Cup,8,Newcastle Riverkings,5
1998-99,31,7,8,9,0,Britain,30,Newcastle Riverkings,16
1999-00,32,0,2,4,0,BH-Cup,5,Newcastle Riverkings,4
1999-00,32,8,8,6,0,Britain,36,Newcastle Riverkings,14
1999-00,32,0,18,0,0,WC-B,7,Great Britain,0
2000-01,33,1,4,0,0,Britain,18,Newcastle Jesters,1
