year,age,goals,pim,assists,plus_minus,league,games_played,team,points
2002-03,15,27,14,18,0,Sloven-U18,13,HK Maribor U18,45
2003-04,16,27,14,17,0,Sloven-U18,22,HK Maribor U18,44
2003-04,16,8,37,8,0,Sloven-Jr.,19,HK Maribor Jr.,16
2003-04,16,3,16,3,0,Slovenia,14,HK Maribor,6
2004-05,17,17,39,16,0,Sloven-Jr.,19,HK Maribor Jr.,33
2004-05,17,16,10,29,0,Slovenia,24,HK Maribor,45
2005-06,18,15,32,15,0,CzRep-Jr.,43,HC Ceske Budejovice Jr.,30
2006-07,19,27,50,53,27,OHL,62,Saginaw Spirit,80
2007-08,20,1,2,2,0,WJC-B,5,Slovenia,3
2007-08,20,17,23,47,18,OHL,57,2 Teams,64
2007-08,20,6,15,20,3,OHL,26,Saginaw Spirit,26
2007-08,20,11,8,27,15,OHL,31,Belleville Bulls,38
2008-09,21,2,25,7,0,AHL,51,Grand Rapids Griffins,9
2009-10,22,24,46,18,12,AHL,79,Grand Rapids Griffins,42
2010-11,23,13,35,22,17,AHL,54,Grand Rapids Griffins,35
2011-12,24,0,2,1,-3,AHL,6,Grand Rapids Griffins,1
2012-13,25,19,9,29,0,Austria,30,HDD Olimpija Ljubljana (SLO),48
2012-13,25,4,12,12,15,AHL,23,Grand Rapids Griffins,16
