year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1991-92,16,0,17,0,0,QMJHL,4,Drummondville Voltigeurs,0
1992-93,17,0,36,1,0,QMJHL,10,Drummondville Voltigeurs,1
1993-94,18,2,118,10,0,QMJHL,26,Chicoutimi Sagueneens,12
1993-94,18,0,8,0,0,M-Cup,4,Chicoutimi Sagueneens,0
1994-95,19,3,40,5,0,QMJHL,13,Chicoutimi Sagueneens,8
1996-97,21,1,27,1,0,IHL,4,Indianapolis Ice,2
1997-98,22,0,12,2,0,IHL,5,Indianapolis Ice,2
1998-99,23,0,39,3,0,AHL,15,Fredericton Canadiens,3
1999-00,24,1,14,1,0,AHL,10,Hamilton Bulldogs,2
2001-02,26,1,22,3,0,AHL,12,Hamilton Bulldogs,4
2002-03,27,0,27,0,-3,AHL,9,Bridgeport Sound Tigers,0
2003-04,28,1,48,0,3,AHL,24,Wilkes-Barre Penguins,1
2004-05,29,0,18,1,-2,AHL,11,Wilkes-Barre Penguins,1
2007-08,32,2,16,3,-7,AHL,23,Wilkes-Barre Penguins,5
2008-09,33,0,16,1,0,Germany,4,Sinupret Ice Tigers Nurnberg,1
2009-10,34,0,8,4,0,Germany,5,Thomas Sabo Ice Tigers Nurnberg,4
