year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1990-91,15,3,70,11,0,ON-Jr.D,36,Belmont Bombers,14
1991-92,16,2,46,5,0,ON-Jr.B,30,Sarnia Bees,7
1991-92,16,0,4,4,0,ON-Jr.C,4,Clearwater Steeplejacks,4
1992-93,17,7,202,8,0,ON-Jr.B,24,Guelph Holody Platers,15
1992-93,17,1,30,3,0,OHL,22,Guelph Storm,4
1993-94,18,6,176,33,0,OHL,61,Guelph Storm,39
1994-95,19,10,187,21,0,OHL,63,Guelph Storm,31
1995-96,20,2,306,12,0,AHL,73,Rochester Americans,14
1996-97,21,5,282,11,0,AHL,68,Rochester Americans,16
1997-98,22,1,207,12,8,AHL,50,Rochester Americans,13
1998-99,23,0,4,1,-4,AHL,6,Hartford Wolf Pack,1
1999-00,24,0,0,0,0,AHL,2,Hartford Wolf Pack,0
2000-01,25,0,50,0,-7,IHL,16,Orlando Solar Bears,0
2000-01,25,1,93,2,-2,AHL,21,Norfolk Admirals,3
2001-02,26,4,133,9,5,AHL,52,Norfolk Admirals,13
2002-03,27,3,128,11,0,Austria,31,EHC Linz,14
2003-04,28,8,241,9,-18,ECHL,70,Columbus Cottonmouths,17
2004-05,29,3,289,9,11,UHL,46,Danbury Trashers,12
2005-06,30,0,57,1,5,UHL,17,Kalamazoo Wings,1
