year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1966-67,17,0,4,1,0,MJrHL,4,Halifax Jr. Canadiens,1
1967-68,18,3,18,5,0,NBJHL,6,Fredericton Jr. Red Wings,8
1967-68,18,2,6,2,0,SNBHL,5,Fredericton Jr. Red Wings,4
1967-68,18,4,6,3,0,M-Cup,6,Fredericton Red Wings,7
1968-69,19,0,8,2,0,OHA-Jr.,6,London Knights,2
1970-71,21,4,6,1,0,AHL,10,Providence Reds,5
1971-72,22,2,4,2,0,AHL,5,Providence Reds,4
1973-74,24,0,11,2,0,CHL,4,Fort Worth Wings,2
1976-77,27,1,9,5,0,CHL,6,Fort Worth Texans,6
1977-78,28,2,8,6,0,CHL,14,Fort Worth Texans,8
1978-79,29,2,8,0,0,CHL,5,Fort Worth Texans,2
1981-82,32,0,0,2,0,CHL,8,Dallas Black Hawks,2
