year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1991-92,17,26,132,16,0,AMHL,23,Calgary Flames,42
1992-93,18,31,146,33,0,WHL,67,Portland Winter Hawks,64
1993-94,19,40,144,53,0,WHL,65,Portland Winter Hawks,93
1994-95,20,11,136,16,0,AHL,71,Rochester Americans,27
1995-96,21,14,170,18,0,AHL,62,Rochester Americans,32
1996-97,22,22,133,21,0,AHL,68,Rochester Americans,43
1997-98,23,13,113,7,-10,AHL,35,Rochester Americans,20
1998-99,24,13,120,20,19,AHL,52,Rochester Americans,33
1999-00,25,7,141,11,2,AHL,37,Rochester Americans,18
2000-01,26,7,198,24,-37,IHL,67,Detroit Vipers,31
2004-05,30,7,86,12,0,Britain,16,London Racers,19
2005-06,31,3,18,5,6,AHL,6,Milwaukee Admirals,8
