year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1968-69,17,5,21,9,0,OHA-Jr.,18,Kitchener Rangers,14
1969-70,18,27,45,19,0,OHA-Jr.,48,Kitchener Rangers,46
1970-71,19,12,22,24,0,OHA-Jr.,42,Toronto Marlboros,36
1971-72,20,8,37,15,0,AHL,42,Hershey Bears,23
1972-73,21,2,9,5,0,AHL,8,Hershey Bears,7
1972-73,21,13,28,31,0,WHL,60,2 Teams,44
1972-73,21,3,14,13,0,WHL,25,San Diego Gulls,16
1972-73,21,10,14,18,0,WHL,35,Denver Spurs,28
1973-74,22,5,20,13,0,AHL,28,Cincinnati Swords,18
1974-75,23,26,41,36,0,AHL,73,Syracuse Eagles,62
1976-77,25,0,6,1,0,Can-Cup,4,United States,1
1978-79,27,27,8,77,0,PHL,58,San Diego Hawks,104
1979-80,28,2,2,2,0,Austria,6,ATSE Graz,4
