age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
22,,0.0,0,0,-5,NHL,12,0,1990-91,0,4,0,,0,54,,MTL,0
23,,0.0,0,0,-4,NHL,7,0,1991-92,0,1,0,,0,11,,MTL,0
24,SC,5.0,1,5,9,NHL,20,0,1992-93,0,20,1,,0,30,,MTL,6
25,,0.0,0,0,3,NHL,7,0,1993-94,0,7,0,,0,17,,MTL,0
27,,20.0,0,1,1,NHL,6,1,1995-96,0,5,1,,0,6,,MTL,2
28,,7.4,1,2,-3,NHL,10,0,1996-97,0,27,2,,1,19,,NJD,4
29,,14.3,0,1,2,NHL,6,0,1997-98,1,7,1,,1,21,,NJD,2
30,,0.0,0,3,-1,NHL,7,0,1998-99,0,12,0,18:28,0,10,129,NJD,3
31,,0.0,0,0,-3,NHL,5,0,1999-00,0,9,0,16:38,0,16,83,PHX,0
33,,0.0,0,1,-1,NHL,4,0,2001-02,0,3,0,24:08,0,25,97,CHI,1
34,,0.0,0,0,-1,NHL,2,0,2002-03,0,2,0,12:52,0,0,26,DAL,0
