year,age,goals,pim,assists,plus_minus,league,games_played,team,points
2006-07,16,19,119,41,0,SAMHL,53,Calgary Blazers,60
2006-07,16,1,0,0,0,AJHL,2,Camrose Kodiaks,1
2007-08,17,8,45,16,0,AJHL,49,Camrose Kodiaks,24
2008-09,18,10,123,19,0,AJHL,53,Camrose Kodiaks,29
2008-09,18,2,14,2,4,WJ18-A,6,Canada,4
2009-10,19,1,49,10,0,WCHA,36,U. of Minnesota-Duluth,11
2010-11,20,1,8,12,0,WCHA,17,U. of Minnesota-Duluth,13
2010-11,20,0,10,4,-18,AHL,42,Rockford IceHogs,4
2010-11,20,0,0,2,-2,WJC-A,7,Canada,2
2011-12,21,4,44,3,-5,AHL,44,Rockford IceHogs,7
2012-13,22,2,27,9,-4,AHL,50,Rockford IceHogs,11
2013-14,23,0,8,8,3,AHL,16,Rockford IceHogs,8
2013-14,23,1,2,1,1,AHL,4,San Antonio Rampage,2
2014-15,24,1,22,2,-2,AHL,12,San Antonio Rampage,3
