league,games_played,game_winning_goals,age,shots,points,power_play_assists,total_ice_time,team,awards,shotsPercentage,even_strength_goals,assists,plus_minus,goals,shorthanded_goals,year,average_ice_time,power_play_goals,pim,shorthanded_assists,even_strength_assists
NHL,5,0,20,7,0,0,,DET,[],0.0,0,0,0,0,0,1978-79,,0,0,0,0
NHL,18,0,21,6,3,0,,DET,[],16.7,1,2,-1,1,0,1979-80,,0,2,0,2
NHL,53,1,22,40,24,3,,DET,[],15.0,5,18,2,6,0,1980-81,,1,24,0,15
NHL,61,0,23,51,15,2,,TOT,[],19.6,10,5,-9,10,0,1981-82,,0,49,0,3
NHL,15,0,23,10,1,0,,DET,[],10.0,1,0,-6,1,0,1981-82,,0,6,0,0
NHL,46,0,23,41,14,2,,BUF,[],22.0,9,5,-3,9,0,1981-82,,0,43,0,3
NHL,75,0,24,98,37,3,,BUF,"[{'link': '/awards/voting-1983.html#selke', 'name': 'Selke-19'}]",13.3,11,24,10,13,1,1982-83,,1,38,1,20
NHL,70,0,25,81,21,0,,BUF,"[{'link': '/awards/voting-1984.html#selke', 'name': 'Selke-25'}]",11.1,9,12,3,9,0,1983-84,,0,52,0,12
NHL,74,2,26,104,34,1,,BUF,[],11.5,9,22,18,12,1,1984-85,,2,47,1,20
NHL,77,2,27,86,31,5,,VAN,"[{'link': '/awards/voting-1986.html#selke', 'name': 'Selke-11'}]",9.3,5,23,-10,8,3,1985-86,,0,94,0,18
NHL,69,2,28,71,22,0,,VAN,[],9.9,4,15,-14,7,1,1986-87,,2,77,3,12
NHL,52,0,29,33,9,0,,HAR,[],6.1,2,7,-9,2,0,1987-88,,0,40,0,7
NHL,66,2,30,56,17,0,,HAR,[],7.1,4,13,2,4,0,1988-89,,0,61,1,12
