year,age,goals,pim,assists,plus_minus,league,games_played,team,points
2003-04,18,0,2,0,0,CzRep-Jr.,2,HC Chemopetrol Litvinov Jr.,0
2004-05,19,8,30,10,-2,OHL,21,Ottawa 67\'s,18
2004-05,19,0,0,0,0,M-Cup,1,Ottawa 67\'s,0
2005-06,20,8,14,11,-5,OHL,14,Barrie Colts,19
2006-07,21,2,10,2,0,AHL,5,Albany River Rats,4
2007-08,22,2,8,1,0,AHL,7,Albany River Rats,3
2009-10,24,0,4,1,0,Finland,4,Lukko Rauma,1
2010-11,25,9,22,5,0,Finland,13,Lukko Rauma,14
2011-12,26,0,2,1,0,KHL,4,Amur Khabarovsk,1
2012-13,27,9,4,7,0,KHL,19,Dynamo Moscow,16
