year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1984-85,17,8,0,4,0,High-MN,23,Robbinsdale-Cooper Hawks,12
1985-86,18,17,247,8,0,High-MN,21,Robbinsdale-Cooper Hawks,25
1986-87,19,0,88,9,0,WCHA,45,University of Minnesota,9
1987-88,20,3,76,9,0,WCHA,38,University of Minnesota,12
1988-89,21,4,95,9,0,WCHA,47,University of Minnesota,13
1989-90,22,3,26,2,0,WCHA,14,University of Minnesota,5
1990-91,23,6,75,15,0,AHL,64,Hershey Bears,21
1991-92,24,0,38,1,0,Nat-Tm,19,United States,1
1991-92,24,0,6,0,0,AHL,4,Hershey Bears,0
1992-93,25,5,77,10,0,AHL,53,Hershey Bears,15
1993-94,26,4,93,13,0,AHL,58,Hershey Bears,17
1994-95,27,8,55,19,0,AHL,61,P.E.I. Senators,27
1995-96,28,4,39,10,0,AHL,29,P.E.I. Senators,14
