year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1999-00,16,22,0,14,0,CzR-U17,38,HC Stadion Liberec U17,36
1999-00,16,0,0,0,0,CzRep-Jr.,2,HC Stadion Liberec Jr.,0
2000-01,17,3,0,5,0,CzR-U17,18,HC Liberec U17,8
2000-01,17,16,0,12,0,CzRep-Jr.,33,HC Liberec Jr.,28
2000-01,17,1,2,1,-4,WJ18-A,7,Czech Republic,2
2001-02,18,32,28,54,4,WHL,72,Kootenay Ice,86
2002-03,19,35,113,42,5,WHL,67,Kootenay Ice,77
2003-04,20,4,16,12,8,AHL,51,Cleveland Barons,16
2004-05,21,17,26,11,-18,AHL,62,Cleveland Barons,28
2005-06,22,11,53,19,-18,AHL,74,Cleveland Barons,30
2006-07,23,6,28,9,-5,AHL,47,Worcester Sharks,15
2007-08,24,5,12,7,5,AHL,22,Worcester Sharks,12
2009-10,26,19,73,18,0,Finland,52,TPS Turku,37
2010-11,27,11,53,11,0,Finland,42,TPS Turku,22
2011-12,28,16,66,20,0,Finland,59,TPS Turku,36
2012-13,29,6,18,5,0,Finland,41,Karpat Oulu,11
