year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1992-93,15,25,0,46,0,High-MA,55,St. Peter\'s-Marian High,71
1993-94,16,10,0,35,0,High-MA,30,Cushing Academy Penguins,45
1994-95,17,17,35,54,0,High-MA,36,Cushing Academy Penguins,71
1994-95,17,8,0,10,0,MBAHL,8,Central-Mass Outlaws,18
1995-96,18,14,18,59,0,High-MA,29,Cushing Academy Penguins,73
1995-96,18,0,0,3,0,WJC-A,6,United States,3
1996-97,19,4,54,17,0,H-East,38,Boston University Terriers,21
1996-97,19,1,4,2,0,WJC-A,6,United States,3
1997-98,20,13,60,29,0,H-East,38,Boston University Terriers,42
2001-02,24,0,4,1,2,Olympics,6,United States,1
2012-13,35,1,0,0,-1,AHL,2,Hershey Bears,1
