age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
19,SC,0,0,1,0,NHL,9,0,1949-50,0,0,0,,0,10,,DET,1
20,,0,0,0,0,NHL,6,0,1950-51,0,0,0,,0,0,,DET,0
21,SC,0,0,1,0,NHL,8,0,1951-52,0,0,0,,0,10,,DET,1
22,,0,0,0,0,NHL,6,0,1952-53,0,0,0,,0,6,,DET,0
23,SC,0,0,3,0,NHL,0,0,1953-54,0,0,2,,0,12,,DET,5
24,SC,0,0,2,0,NHL,11,0,1954-55,0,0,1,,0,6,,DET,3
25,,0,0,2,0,NHL,0,0,1955-56,0,0,0,,0,8,,DET,2
26,,0,0,0,0,NHL,5,0,1956-57,0,0,0,,0,6,,DET,0
27,,0,0,1,0,NHL,4,0,1957-58,0,0,0,,0,4,,DET,1
29,,5.6,0,1,0,NHL,6,0,1959-60,0,18,1,,0,2,,DET,2
30,,18.2,0,3,3,NHL,9,0,1960-61,0,11,2,,0,0,,DET,5
32,,6.7,0,4,-2,NHL,0,0,1962-63,0,15,1,,0,8,,DET,5
33,,0.0,0,2,-3,NHL,0,0,1963-64,0,18,0,,0,14,,DET,2
34,,0.0,0,3,-2,NHL,7,0,1964-65,0,8,0,,0,4,,DET,3
35,,0.0,0,0,0,NHL,4,0,1965-66,0,3,0,,0,6,,TOR,0
36,SC,7.7,0,0,3,NHL,0,0,1966-67,0,13,1,,0,8,,TOR,1
