year,age,goals,pim,assists,plus_minus,league,games_played,team,points
2005-06,15,11,78,19,0,Minor-ON,58,Windsor Jr. Spitfires,30
2006-07,16,1,36,2,6,OHL,49,Sarnia Sting,3
2007-08,17,0,82,5,-2,OHL,57,2 Teams,5
2007-08,17,0,43,2,-4,OHL,32,Sarnia Sting,2
2007-08,17,0,39,3,2,OHL,25,Barrie Colts,3
2008-09,18,0,98,6,-11,OHL,65,Barrie Colts,6
2009-10,19,7,121,14,26,OHL,63,Barrie Colts,21
2010-11,20,9,99,22,-3,OHL,52,2 Teams,31
2010-11,20,7,55,14,-8,OHL,23,Barrie Colts,21
2010-11,20,2,44,8,5,OHL,29,Saginaw Spirit,10
2011-12,21,4,54,9,-1,AHL,62,Springfield Falcons,13
2012-13,22,1,73,8,4,AHL,40,Springfield Falcons,9
2013-14,23,0,11,3,-2,AHL,15,Springfield Falcons,3
2016-17,26,0,6,2,4,AHL,7,Cleveland Monsters,2
