year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1944-45,16,2,2,1,0,High-ON,2,DeLasalle Oaklands,3
1945-46,17,9,6,7,0,High-ON,12,DeLasalle Oaklands,16
1946-47,18,11,39,5,0,High-ON,11,DeLasalle Oaklands,16
1947-48,19,1,23,0,0,OHA-Jr.,12,Windsor Spitfires,1
1948-49,20,0,0,1,0,USHL,4,Omaha Knights,1
1949-50,21,0,0,1,0,AHL,4,Indianapolis Capitols,1
1952-53,24,0,0,1,0,WHL,3,Calgary Stampeders,1
1953-54,25,3,2,4,0,WHL,18,Calgary Stampeders,7
1953-54,25,2,2,6,0,Ed-Cup,7,Calgary Stampeders,8
1954-55,26,1,4,3,0,WHL,9,Calgary Stampeders,4
