year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1984-85,16,1,68,10,0,QAAA,41,Richelieu Riverains,11
1985-86,17,2,152,17,0,QMJHL,67,Granby Bisons,19
1986-87,18,13,178,41,0,QMJHL,67,Granby Bisons,54
1987-88,19,13,138,23,0,QMJHL,38,2 Teams,36
1987-88,19,7,91,14,0,QMJHL,23,Granby Bisons,21
1987-88,19,6,47,9,0,QMJHL,15,Hull Olympiques,15
1988-89,20,4,28,10,0,AHL,16,Maine Mariners,14
1989-90,21,4,27,16,0,AHL,37,Maine Mariners,20
1990-91,22,1,30,5,0,AHL,23,Maine Mariners,6
1998-99,30,3,4,2,0,WC-A,10,Canada,5
2004-05,36,1,4,2,0,Italy,10,A&O Asiago Hockey,3
