year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1995-96,15,6,19,1,0,ON-Jr.A,19,Kanata Valley Lasers,7
1996-97,16,13,63,13,0,ON-Jr.A,44,Kanata Valley Lasers,26
1997-98,17,20,45,17,0,OHL,59,Oshawa Generals,37
1998-99,18,31,93,44,0,OHL,67,Oshawa Generals,75
1999-00,19,28,68,35,17,OHL,56,Oshawa Generals,63
2000-01,20,5,23,13,-3,AHL,50,Springfield Falcons,18
2001-02,21,2,12,3,-6,ECHL,16,Mississippi Sea Wolves,5
2002-03,22,2,6,5,5,AHL,16,Springfield Falcons,7
2002-03,22,11,80,15,3,ECHL,44,Augusta Lynx,26
2003-04,23,5,16,4,-5,ECHL,13,Dayton Bombers,9
2003-04,23,9,28,10,0,Italy,21,HC Alleghe,19
2004-05,24,27,60,26,4,ECHL,65,Columbia Inferno,53
2005-06,25,8,78,13,0,Denmark,35,Aalborg IK,21
2006-07,26,20,108,33,0,ECHL,63,Columbia Inferno,53
2006-07,26,0,0,0,0,AHL,1,Hershey Bears,0
2007-08,27,18,73,31,0,ECHL,66,Columbia Inferno,49
2008-09,28,13,22,15,7,ECHL,28,Charlotte Checkers,28
