year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1906-07,18,2,0,0,0,OHA-Jr.,4,Lindsay Midgets,2
1907-08,19,10,0,0,0,OHA,6,Lindsay Midgets,10
1909-10,21,10,0,0,0,OPHL,10,Brantford Redmen,10
1910-11,22,19,0,0,0,EOPHL,6,Port Hope Professionals,19
1911-12,23,0,0,0,0,NHA,1,Montreal Wanderers,0
1911-12,23,2,0,0,0,Sask-Pro,3,2 Teams,2
1911-12,23,0,0,0,0,Sask-Pro,1,Saskatoon Hoo-Hoos,0
1911-12,23,2,0,0,0,Sask-Pro,2,Saskatoon Real Estates,2
1912-13,24,0,0,0,0,NHA,2,Toronto Blueshirts,0
1912-13,24,17,18,0,0,MPHL,12,Sydney Millionaires,17
1913-14,25,28,68,0,0,MPHL,24,Sydney Millionaires,28
1914-15,26,11,17,0,0,MPHL,8,Sydney Millionaires,11
1915-16,27,7,111,5,0,NHA,24,Toronto Blueshirts,12
1916-17,28,11,104,4,0,NHA,18,2 Teams,15
1916-17,28,8,64,2,0,NHA,13,Toronto Blueshirts,10
1916-17,28,3,40,2,0,NHA,5,Montreal Wanderers,5
1926-27,38,7,46,2,0,Can-Pro,28,2 Teams,9
1926-27,38,4,25,0,0,Can-Pro,15,Niagara Falls Cataracts,4
1926-27,38,3,21,2,0,Can-Pro,13,Hamilton Tigers,5
1927-28,39,0,6,0,0,Can-Am,19,Providence Reds,0
1930-31,42,0,0,0,0,OPHL,2,Oshawa Patricias,0
