year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1927-28,18,2,0,1,0,WJrHL,2,Elmwood Millionaires,3
1927-28,18,1,4,1,0,WSrHL,2,Winnipeg Eaton\'s,2
1927-28,18,2,0,0,0,M-Cup,3,Elmwood Maple Leafs,2
1928-29,19,0,0,0,0,MTBHL,1,University of Manitoba,0
1928-29,19,0,2,2,0,WSrHL,3,Winnipeg CPR,2
1931-32,22,1,2,2,0,Can-Am,5,Providence Reds,3
1932-33,23,1,0,1,0,Can-Am,2,Providence Reds,2
1933-34,24,0,0,0,0,Can-Am,3,Providence Reds,0
1934-35,25,1,7,1,0,Can-Am,6,Providence Reds,2
1935-36,26,3,2,3,0,Can-Am,7,Providence Reds,6
1936-37,27,2,0,1,0,IAHL,3,Providence Reds,3
