year,age,goals,pim,assists,plus_minus,league,games_played,team,points
2006-07,16,7,4,4,0,J18 Allsvens,14,Bryn\xc3\xa4s IF J18,11
2006-07,16,0,4,0,0,Internationa,3,Sweden U17 (all),0
2006-07,16,0,31,4,0,TV-Pucken,8,G\xc3\xa4strikland,4
2006-07,16,0,0,0,0,SuperElit,1,Bryn\xc3\xa4s IF J20,0
2007-08,17,8,36,11,0,SuperElit,35,Bryn\xc3\xa4s IF J20,19
2007-08,17,2,8,7,0,J18 Allsvens,6,Bryn\xc3\xa4s IF J18,9
2008-09,18,5,6,8,0,Internationa,8,Sweden U19 (all),13
2008-09,18,0,2,0,-1,Allsvenskan,6,IK Oskarshamn,0
2008-09,18,29,34,26,0,SuperElit,37,Bryn\xc3\xa4s IF J20,55
2009-10,19,3,2,10,0,Internationa,11,Sweden U20 (all),13
2009-10,19,3,2,7,4,WJC-20,6,Sweden U20,10
2009-10,19,2,0,2,0,Allsvenskan,8,Mora IK,4
2009-10,19,0,4,3,0,SuperElit,4,Bryn\xc3\xa4s IF J20,3
2009-10,19,1,8,4,0,SHL,36,Bryn\xc3\xa4s IF,5
2010-11,20,7,16,19,-9,SHL,53,Bryn\xc3\xa4s IF,26
2011-12,21,10,18,17,-5,AHL,62,Chicago Wolves,27
2012-13,22,4,22,10,-11,AHL,49,Chicago Wolves,14
2013-14,23,0,4,1,1,Internationa,8,Sweden (all),1
2013-14,23,0,0,0,0,EHT,3,Sweden,0
2013-14,23,12,38,23,-9,SHL,47,Bryn\xc3\xa4s IF,35
2013-14,23,2,8,3,0,ET,8,Bryn\xc3\xa4s IF,5
2014-15,24,0,0,0,-1,Internationa,3,Sweden (all),0
2014-15,24,0,0,0,-2,EHT,3,Sweden,0
2014-15,24,19,32,21,-4,SHL,54,Bryn\xc3\xa4s IF,40
2015-16,25,16,18,21,7,SHL,33,Bryn\xc3\xa4s IF,37
2015-16,25,0,0,0,0,Internationa,1,Sweden (all),0
2015-16,25,0,0,0,0,EHT,1,Sweden,0
2016-17,26,0,0,1,-1,AHL,3,Utica Comets,1
