year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1975-76,18,2,4,2,0,WCJHL,6,Winnipeg Clubs,4
1976-77,19,5,23,3,0,WCJHL,7,Winnipeg Monarchs,8
1977-78,20,17,10,7,0,IHL,16,Port Huron Flags,24
1978-79,21,6,11,6,0,CHL,9,Dallas Black Hawks,12
1979-80,22,2,4,4,0,CHL,6,Houston Apollos,6
1980-81,23,15,44,11,0,CHL,18,Wichita Wind,26
1984-85,27,4,6,8,0,AHL,15,Baltimore Skipjacks,12
1986-87,29,2,0,1,0,W.German,4,EV Landshut,3
1987-88,30,4,0,4,0,W.German,11,SB DJK Rosenheim,8
1988-89,31,10,0,8,0,Swiss,10,HC Davos,18
1994-95,37,13,10,11,0,CHL,11,Wichita Thunder,24
