year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1998-99,15,61,42,31,0,Minor-ON,34,Ontario East,92
1999-00,16,34,44,53,0,OHL,66,Kitchener Rangers,87
2000-01,17,42,114,39,0,OHL,65,Kitchener Rangers,81
2001-02,18,43,92,46,1,OHL,62,Kitchener Rangers,89
2002-03,19,28,73,50,23,OHL,49,Kitchener Rangers,78
2002-03,19,1,4,2,2,WJC-A,6,Canada,3
2003-04,20,10,20,16,6,AHL,26,Rochester Americans,26
2004-05,21,16,60,45,-4,AHL,67,Rochester Americans,61
2005-06,22,7,10,13,-4,AHL,8,Rochester Americans,20
2007-08,24,5,6,5,4,WC-A,9,Canada,10
2008-09,25,4,4,4,1,WC-A,9,Canada,8
