year,age,goals,pim,assists,plus_minus,league,games_played,team,points
2000-01,15,30,0,15,0,Slovak-Jr.,38,MHC Plastika Nitra Jr.,45
2001-02,16,27,0,25,0,Slovak-Jr.,29,HKM Nitra Jr.,52
2001-02,16,0,29,5,0,Slovakia,19,HKM Nitra,5
2002-03,17,18,64,22,0,Slovak-Jr.,30,HKM Nitra Jr.,40
2002-03,17,5,4,7,0,Slovak-2,17,HKM Nitra,12
2003-04,18,34,63,38,2,OHL,62,Owen Sound Attack,72
2003-04,18,0,0,0,0,AHL,2,Philadelphia Phantoms,0
2003-04,18,3,2,3,0,WJC-A,6,Slovakia,6
2004-05,19,37,61,33,21,OHL,62,Owen Sound Attack,70
2004-05,19,3,4,3,0,WJC-A,6,Slovakia,6
2005-06,20,16,88,32,-8,AHL,73,Philadelphia Phantoms,48
2006-07,21,16,29,11,-7,AHL,32,Philadelphia Phantoms,27
2007-08,22,19,105,31,-6,AHL,59,Philadelphia Phantoms,50
2008-09,23,18,81,19,0,KHL,55,Spartak Moscow,37
2008-09,23,2,2,1,-4,WC-A,6,Slovakia,3
2009-10,24,16,72,20,0,KHL,56,Spartak Moscow,36
2010-11,25,17,47,15,0,KHL,47,Spartak Moscow,32
2010-11,25,0,2,1,2,WC-A,5,Slovakia,1
2011-12,26,22,67,17,0,KHL,53,Spartak Moscow,39
2012-13,27,10,67,15,0,KHL,43,2 Teams,25
2012-13,27,8,65,11,0,KHL,36,Spartak Moscow,19
2012-13,27,2,2,4,0,KHL,7,Salavat Yulayev Ufa,6
