year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1985-86,16,2,6,1,0,BCJHL,11,Kelowna Packers,3
1986-87,17,2,0,0,0,WHL,5,Victoria Cougars,2
1988-89,19,1,8,1,0,WHL,6,Victoria Cougars,2
1989-90,20,0,4,1,0,AHL,5,Rochester Americans,1
1990-91,21,3,8,3,0,AHL,15,Rochester Americans,6
1991-92,22,2,8,0,0,AHL,9,Rochester Americans,2
1992-93,23,0,12,0,0,AHL,3,Rochester Americans,0
1992-93,23,3,22,5,0,IHL,10,Fort Wayne Komets,8
1993-94,24,0,4,0,0,IHL,2,Kalamazoo Wings,0
1995-96,26,0,18,3,0,Germany,4,Star Bulls Rosenheim,3
1996-97,27,0,2,2,0,Germany,3,Star Bulls Rosenheim,2
1998-99,29,4,8,3,0,Germany,8,Frankfurt Lions,7
1999-00,30,0,4,0,0,Germany,5,Adler Mannheim,0
2000-01,31,4,30,3,0,Swiss,18,HC Lugano,7
2001-02,32,0,6,0,0,Swiss,5,EV Zug,0
2003-04,34,0,0,0,0,Swiss,2,EV Zug,0
