age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
19,,0.0,0,0,-4,NHL,3,0,1980-81,0,6,0,,0,0,,CBH,0
20,,19.3,6,7,-2,NHL,15,0,1981-82,2,57,11,,5,52,,CBH,18
21,,17.0,5,9,3,NHL,13,0,1982-83,1,47,8,,3,22,,CBH,17
22,,12.5,1,3,3,NHL,5,0,1983-84,0,8,1,,0,9,,CBH,4
23,,18.4,6,20,4,NHL,15,0,1984-85,0,49,9,,3,20,,CBH,29
24,,25.0,2,1,-1,NHL,3,0,1985-86,0,16,4,,2,6,,CBH,5
25,,12.5,1,0,-3,NHL,4,0,1986-87,0,8,1,,0,12,,CHI,1
26,,30.8,3,3,3,NHL,5,1,1987-88,1,13,4,,0,17,,CHI,7
27,,11.8,5,11,8,NHL,16,1,1988-89,1,68,8,,2,10,,CHI,19
28,,10.1,3,15,0,NHL,20,0,1989-90,1,0,7,,4,41,,CHI,22
29,,6.1,1,11,-1,NHL,13,0,1990-91,0,33,2,,1,35,,MTL,13
30,,9.1,2,9,1,NHL,11,0,1991-92,0,33,3,,1,8,,MTL,12
31,SC,0.0,0,5,-3,NHL,14,0,1992-93,0,15,0,,0,4,,MTL,5
33,,17.9,4,11,12,NHL,16,0,1994-95,0,39,7,,3,10,,CHI,18
34,,8.3,1,2,0,NHL,10,0,1995-96,0,12,1,,0,8,,CHI,3
35,,0.0,0,2,-3,NHL,6,0,1996-97,0,14,0,,0,2,,CHI,2
