year,age,goals,pim,assists,plus_minus,league,games_played,team,points
2005-06,15,3,40,4,0,QAAA,42,Ecole Ed.-Montpetit Predateur,7
2006-07,16,7,66,13,0,QAAA,42,Montreal Predateurs,20
2007-08,17,4,35,10,-22,QMJHL,65,Val-d\'Or Foreurs,14
2007-08,17,1,6,1,7,WJ18-A,7,Canada,2
2008-09,18,10,64,27,-19,QMJHL,58,Val-d\'Or Foreurs,37
2008-09,18,0,0,0,-2,AHL,2,Houston Aeros,0
2009-10,19,9,41,22,10,QMJHL,31,Val-d\'Or Foreurs,31
2009-10,19,0,7,1,2,AHL,7,Houston Aeros,1
2009-10,19,1,2,2,7,WJC-A,6,Canada,3
2010-11,20,3,17,16,0,AHL,33,Houston Aeros,19
2011-12,21,2,4,3,4,AHL,9,Houston Aeros,5
2012-13,22,2,23,15,2,AHL,45,Houston Aeros,17
