giveaways,league,games_played,game_winning_goals,age,faceoff_loses,total_shots,shots,points,hits,power_play_assists,total_ice_time,team,takeaways,faceoff_percentage,awards,shotsPercentage,even_strength_goals,assists,plus_minus,goals,faceoff_wins,shorthanded_goals,year,blocks,average_ice_time,power_play_goals,pim,shorthanded_assists,even_strength_assists
0,NHL,52,1,19,0,0,47,10,0,3,839,MIN,0,0,[],8.5,3,6,0,4,0,0,2001-02,0,16:08,1,14,0,3
0,NHL,75,1,20,0,0,70,10,0,0,1385,MIN,0,0,[],4.3,3,7,11,3,0,0,2002-03,0,18:28,0,23,0,7
0,NHL,79,0,21,0,0,72,16,0,2,1604,MIN,0,0,[],8.3,5,10,12,6,0,0,2003-04,0,20:19,1,16,1,7
0,NHL,79,0,23,0,0,45,14,0,0,1419,MIN,0,0,[],4.4,2,12,2,2,0,0,2005-06,0,17:58,0,43,1,11
0,NHL,82,1,24,0,0,69,12,0,0,1657,MIN,0,0,[],2.9,2,10,0,2,0,0,2006-07,0,20:13,0,42,0,10
37,NHL,81,0,25,0,132,52,15,101,0,1634,MIN,20,0,[],3.8,2,13,9,2,0,0,2007-08,147,20:10,0,42,1,12
35,NHL,79,0,26,1,117,48,11,78,0,1624,MIN,9,0.0,[],4.2,2,9,-4,2,0,0,2008-09,152,20:33,0,31,2,7
29,NHL,80,0,27,0,174,83,20,84,2,1677,MIN,15,0,[],1.2,0,19,-8,1,0,0,2009-10,158,20:58,1,43,2,15
25,NHL,74,0,28,0,116,46,17,78,1,1496,MIN,9,100.0,[],6.5,3,14,-4,3,1,0,2010-11,132,20:13,0,38,1,12
32,NHL,82,0,29,0,131,51,7,83,0,1616,TOT,14,0,[],2.0,0,6,-12,1,0,0,2011-12,165,19:42,1,40,0,6
18,NHL,62,0,29,0,96,38,3,60,0,1215,MIN,12,0,[],2.6,0,2,-10,1,0,0,2011-12,121,19:36,1,30,0,2
14,NHL,20,0,29,0,35,13,4,23,0,401,EDM,2,0,[],0.0,0,4,-2,0,0,0,2011-12,44,20:04,0,10,0,4
27,NHL,0,0,30,2,68,33,9,52,0,894,EDM,9,0.0,[],3.0,1,8,-13,1,0,0,2012-13,107,18:38,0,24,0,8
36,NHL,69,0,31,0,74,35,5,73,0,1126,TOT,2,0,[],0.0,0,5,-13,0,0,0,2013-14,132,16:19,0,28,1,4
35,NHL,60,0,31,0,60,27,4,64,0,1018,EDM,2,0,[],0.0,0,4,-11,0,0,0,2013-14,120,16:58,0,24,1,3
1,NHL,9,0,31,0,14,8,1,9,0,107,CBJ,0,0,[],0.0,0,1,-2,0,0,0,2013-14,12,11:54,0,4,0,1
23,NHL,80,1,32,0,155,69,15,113,1,1524,PHI,6,0,[],2.9,2,13,2,2,0,0,2014-15,166,19:03,0,47,0,12
38,NHL,81,0,33,0,161,70,10,85,0,1454,PHI,4,100.0,[],1.4,1,9,-1,1,1,0,2015-16,174,17:57,0,42,0,9
13,NHL,28,0,34,0,63,25,4,45,0,427,PHI,2,0,[],0.0,0,4,1,0,0,0,2016-17,61,15:15,0,10,0,4
