giveaways,league,games_played,game_winning_goals,age,faceoff_loses,total_shots,shots,points,hits,power_play_assists,total_ice_time,team,takeaways,faceoff_percentage,awards,shotsPercentage,even_strength_goals,assists,plus_minus,goals,faceoff_wins,shorthanded_goals,year,blocks,average_ice_time,power_play_goals,pim,shorthanded_assists,even_strength_assists
4,NHL,20,0,26,0,14,6,1,17,0,185,MIN,3,0,[],0.0,0,1,-1,0,0,0,2008-09,21,9:14,0,21,0,1
10,NHL,51,0,27,0,53,22,2,62,0,439,MIN,1,0,[],4.5,1,1,-3,1,0,0,2009-10,21,8:36,0,90,0,1
3,NHL,40,0,28,3,33,15,1,60,0,250,CHI,3,0.0,[],0.0,0,1,0,0,0,0,2010-11,10,6:15,0,72,0,1
10,NHL,35,0,29,0,20,9,1,39,0,235,TOT,8,0,[],0.0,0,1,-1,0,0,0,2011-12,10,6:42,0,53,0,1
8,NHL,29,0,29,0,19,8,1,29,0,201,CHI,8,0,[],0.0,0,1,0,0,0,0,2011-12,10,6:56,0,48,0,1
2,NHL,6,0,29,0,1,1,0,10,0,33,NYR,0,0,[],0.0,0,0,-1,0,0,0,2011-12,0,5:33,0,5,0,0
7,NHL,34,0,30,0,24,15,0,38,0,185,BUF,8,0,[],0.0,0,0,-1,0,0,0,2012-13,5,5:27,0,69,0,0
4,NHL,56,0,31,0,24,16,1,95,0,378,BUF,3,0,[],6.3,1,0,-12,1,0,0,2013-14,21,6:45,0,125,0,0
11,NHL,38,0,32,0,40,19,4,94,0,283,SJS,7,0,[],15.8,3,1,0,3,0,0,2014-15,14,7:27,0,87,0,1
3,NHL,12,0,33,0,6,6,1,23,0,78,TOT,1,0,[],0.0,0,1,-1,0,0,0,2015-16,3,6:32,0,27,0,1
2,NHL,11,0,33,0,6,6,1,20,0,69,ARI,1,0,[],0.0,0,1,0,0,0,0,2015-16,3,6:18,0,25,0,1
1,NHL,1,0,33,0,0,0,0,3,0,9,MTL,0,0,[],0,0,0,-1,0,0,0,2015-16,0,9:01,0,2,0,0
