year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1964-65,16,0,0,0,0,OHA-Jr.,1,Kitchener Rangers,0
1966-67,18,13,78,32,0,OHA-Jr.,48,Kitchener Rangers,45
1967-68,19,20,65,49,0,OHA-Jr.,43,Kitchener Rangers,69
1968-69,20,25,60,32,0,CHL,72,Memphis South Stars,57
1969-70,21,20,43,49,0,CHL,72,Iowa Stars,69
1970-71,22,3,4,3,0,AHL,14,Rochester Americans,6
1971-72,23,15,82,24,0,AHL,66,Rochester Americans,39
1972-73,24,32,66,47,0,WHL,72,Seattle Totems,79
1973-74,25,26,54,35,0,WHL,67,Seattle Totems,61
1974-75,26,37,26,47,0,CHL,73,Seattle Totems,84
1975-76,27,22,56,28,0,CHL,62,Tulsa Oilers,50
1976-77,28,27,31,37,0,AHL,80,Rhode Island Reds,64
1978-79,30,30,0,48,0,OHA-Sr.,42,Stratford Perths,78
1979-80,31,30,0,64,0,OHA-Sr.,40,Stratford Combines,94
