year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1979-80,15,61,0,48,0,Minor-ON,55,Cornwall Midget Royals,109
1980-81,16,0,4,1,0,ON-Jr.B,1,Kingston Voyageurs,1
1980-81,16,8,18,8,0,OMJHL,49,Kingston Canadians,16
1981-82,17,23,75,31,0,OHL,62,Kingston Canadians,54
1982-83,18,24,64,47,0,OHL,63,2 Teams,71
1982-83,18,8,42,17,0,OHL,19,Kingston Canadians,25
1982-83,18,16,22,30,0,OHL,44,Peterborough Petes,46
1983-84,19,55,84,51,0,OHL,67,Peterborough Petes,106
1984-85,20,18,39,7,0,AHL,58,New Haven Nighthawks,25
1985-86,21,25,91,29,0,AHL,77,2 Teams,54
1985-86,21,0,0,0,0,AHL,2,New Haven Nighthawks,0
1985-86,21,25,91,29,0,AHL,75,Hershey Bears,54
1987-88,23,17,63,18,0,AHL,46,2 Teams,35
1987-88,23,0,0,0,0,AHL,1,Hershey Bears,0
1987-88,23,17,63,18,0,AHL,45,Baltimore Skipjacks,35
