year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1992-93,24,0,0,1,0,CIS,1,Torpedo Ust-Kamenogorsk,1
1994-95,26,5,12,4,0,CIS,7,Metallurg Magnitogorsk,9
1995-96,27,1,4,2,0,IHL,5,Fort Wayne Komets,3
1996-97,28,0,0,2,0,AHL,5,Worcester IceCats,2
1997-98,29,2,2,4,0,IHL,4,Fort Wayne Komets,6
1998-99,30,2,2,3,0,Russia,8,Metallurg Magnitogorsk,5
1998-99,30,0,2,1,0,EuroHL,5,Metallurg Magnitogorsk,1
1998-99,30,0,0,1,0,IHL,2,Fort Wayne Komets,1
1999-00,31,6,8,8,0,UHL,13,Fort Wayne Komets,14
2000-01,32,3,35,4,0,Russia-2,11,Sibir Novosibirsk,7
2001-02,33,4,0,3,0,Russia-2,8,HK CSKA Moscow,7
2004-05,36,4,2,3,0,Russia-2,13,Torpedo Nizhny Novgorod,7
2005-06,37,4,4,1,0,Russia-2,8,Torpedo Nizhny Novgorod,5
2006-07,38,1,4,4,0,Russia-2,12,Torpedo Nizhny Novgorod,5
2007-08,39,4,2,6,0,IHL,13,Fort Wayne Komets,10
2008-09,40,2,0,8,0,IHL,11,Fort Wayne Komets,10
