league,games_played,game_winning_goals,age,shots,points,power_play_assists,total_ice_time,team,awards,shotsPercentage,even_strength_goals,assists,plus_minus,goals,shorthanded_goals,year,average_ice_time,power_play_goals,pim,shorthanded_assists,even_strength_assists
NHL,52,0,20,56,16,1,,CHI,[],5.4,3,13,-14,3,0,1993-94,,0,30,0,12
NHL,45,0,21,58,18,2,,CHI,[],10.3,4,12,11,6,2,1994-95,,0,33,1,9
NHL,78,0,22,72,20,0,,CHI,[],8.3,3,14,12,6,2,1995-96,,1,24,1,13
NHL,69,1,23,86,30,2,,CHI,[],10.5,8,21,11,9,1,1996-97,,0,28,1,18
NHL,61,2,24,69,31,4,,CHI,[],15.9,8,20,0,11,2,1997-98,,1,36,2,14
NHL,76,3,25,82,30,0,1265,TOT,[],15.9,11,17,14,13,1,1998-99,16:38,1,44,1,16
NHL,7,0,25,5,1,0,107,CHI,[],20.0,1,0,-1,1,0,1998-99,15:14,0,4,0,0
NHL,69,3,25,77,29,0,1158,CGY,[],15.6,10,17,15,12,1,1998-99,16:47,1,40,1,16
NHL,74,1,26,112,31,5,1350,CGY,[],11.6,7,18,-13,13,0,1999-00,18:15,6,30,0,13
NHL,73,0,27,88,20,3,1084,CGY,[],5.7,5,15,-7,5,0,2000-01,14:51,0,58,0,12
NHL,40,0,28,37,6,1,457,CGY,[],8.1,1,3,-3,3,0,2001-02,11:26,2,23,0,2
NHL,74,2,29,68,9,0,848,COL,[],4.4,3,6,-12,3,0,2002-03,11:28,0,35,1,5
