year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1931-32,19,0,0,0,0,IHL,3,Pittsburgh Yellowjackets,0
1932-33,20,8,37,8,0,AHA,39,St. Paul/Tulsa,16
1933-34,21,5,88,7,0,CHL,40,Minneapolis Millers,12
1934-35,22,6,38,13,0,CHL,46,Minneapolis Millers,19
1935-36,23,10,33,9,0,AHA,41,Kansas City Greyhounds,19
1935-36,23,0,6,2,0,IHL,8,Rochester Cardinals,2
1936-37,24,2,26,6,0,AHA,40,Kansas City Greyhounds,8
1937-38,25,11,73,12,0,AHA,46,Kansas City Greyhounds,23
1938-39,26,13,58,14,0,AHA,48,Kansas City Greyhounds,27
1939-40,27,12,57,13,0,AHA,48,Minneapolis Millers,25
1940-41,28,7,25,8,0,AHA,45,Minneapolis Millers,15
1941-42,29,2,38,11,0,AHA,46,Minneapolis Millers,13
