year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1930-31,18,1,6,1,0,OHA-Jr.,2,Toronto Marlboros,2
1931-32,19,1,2,0,0,OHA-Jr.,4,Toronto Marlboros,1
1931-32,19,0,0,0,0,OHA-Sr.,1,Toronto Marlboros,0
1932-33,20,0,8,0,0,OHA-Sr.,2,Toronto Marlboros,0
1933-34,21,1,2,0,0,OHA-Sr.,2,Toronto Marlboros,1
1935-36,23,0,0,0,0,IHL,1,Syracuse Stars,0
1939-40,27,3,2,7,0,IAHL,8,Providence Reds,10
1940-41,28,1,9,0,0,AHL,3,Providence Reds,1
1942-43,30,11,18,18,0,TNDHL,13,Toronto Dehavillands,29
1945-46,33,5,8,15,0,TIHL,10,Toronto Maher Jewels,20
