year,age,goals,pim,assists,plus_minus,league,games_played,team,points
2006-07,16,9,20,25,0,MWEHL,31,Detroit Honeybaked,34
2006-07,16,17,0,23,0,Exhib.,34,Detroit Honeybaked,40
2007-08,17,9,12,16,-2,NAHL,35,U.S. National Team Development Program,25
2007-08,17,4,6,8,0,U-17,16,U.S. National Team Development Program,12
2008-09,18,7,16,7,5,NAHL,15,U.S. National Team Development Program,14
2008-09,18,10,30,25,0,U-18,47,U.S. National Team Development Program,35
2008-09,18,2,6,7,5,WJ18-A,7,United States,9
2009-10,19,5,18,14,0,WCHA,41,University of Denver,19
2010-11,20,23,38,23,0,WCHA,40,University of Denver,46
2010-11,20,2,2,0,2,WJC-A,6,United States,2
2011-12,21,22,45,31,0,WCHA,42,University of Denver,53
2011-12,21,1,4,2,1,AHL,8,San Antonio Rampage,3
2012-13,22,10,18,20,4,AHL,41,San Antonio Rampage,30
2013-14,23,6,25,26,2,AHL,50,San Antonio Rampage,32
2013-14,23,1,2,1,-1,WC,8,USA,2
2014-15,24,9,16,21,0,AHL,35,San Antonio Rampage,30
2014-15,24,3,8,4,0,AHL,12,Adirondack Flames,7
2015-16,25,10,22,28,-17,AHL,59,Stockton Heat,38
2016-17,26,2,2,2,1,Spengler Cup,3,HC Davos,4
2016-17,26,1,0,0,0,Swiss Cup,4,EHC Kloten,1
2016-17,26,24,28,24,-1,NLA,50,EHC Kloten,48
