year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1996-97,16,21,32,12,0,Russia-3,35,Torpedo Yaroslavl 2,33
1996-97,16,1,2,1,0,EJC-A,5,Russia,2
1996-97,16,3,6,2,0,Russia,17,Torpedo Yaroslavl,5
1997-98,17,20,20,13,0,Russia-2,32,Torpedo Yaroslavl 2,33
1997-98,17,0,6,1,0,WJC-A,7,Russia,1
1997-98,17,1,2,1,0,Russia,15,Torpedo Yaroslavl,2
1998-99,18,35,8,59,0,OHL,61,Barrie Colts,94
1998-99,18,1,0,4,0,WJC-A,7,Russia,5
1999-00,19,41,55,65,46,OHL,61,Barrie Colts,106
1999-00,19,2,0,2,0,WJC-A,7,Russia,4
2000-01,20,15,20,11,-9,AHL,34,Louisville Panthers,26
2001-02,21,2,2,4,3,AHL,8,Utah Grizzlies,6
2002-03,22,8,28,18,-11,AHL,54,San Antonio Rampage,26
2003-04,23,15,30,39,0,AHL,77,San Antonio Rampage,54
2004-05,24,7,24,11,0,Russia,52,Lokomotiv Yaroslavl,18
2005-06,25,1,6,5,0,Russia,25,Sibir Novosibirsk,6
2006-07,26,6,32,5,0,Russia,32,Amur Khabarovsk,11
2007-08,27,7,24,9,0,Russia,35,SKA St. Petersburg,16
