year,age,goals,pim,assists,plus_minus,league,games_played,team,points
2002-03,20,4,66,14,0,ECAC,34,University of Vermont,18
2003-04,21,4,93,14,0,ECAC,35,University of Vermont,18
2004-05,22,4,57,12,0,ECAC,36,University of Vermont,16
2005-06,23,3,60,15,0,H-East,38,University of Vermont,18
2005-06,23,0,2,0,-1,AHL,2,Toronto Marlies,0
2006-07,24,7,75,18,-2,AHL,80,Toronto Marlies,25
2007-08,25,3,57,10,14,AHL,80,Toronto Marlies,13
2008-09,26,4,47,16,-4,AHL,43,Toronto Marlies,20
2009-10,27,3,58,5,-5,AHL,54,Houston Aeros,8
2010-11,28,4,66,18,13,AHL,68,Chicago Wolves,22
2011-12,29,5,59,19,0,Germany,52,Adler Mannheim,24
2012-13,30,1,64,14,17,Germany,52,Adler Mannheim,15
