year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1956-57,17,7,35,7,0,OHA-Jr.,46,St. Michael\'s Majors,14
1957-58,18,19,64,20,0,OHA-Jr.,52,St. Michael\'s Majors,39
1958-59,19,8,58,16,0,OHA-Jr.,48,St. Michael\'s Majors,24
1958-59,19,0,0,0,0,OHA-Sr.,1,Kitchener-Waterloo Dutchmen,0
1959-60,20,4,63,8,0,OHA-Sr.,47,Kitchener-Waterloo Dutchmen,12
1959-60,20,1,9,1,0,Olympics,7,Canada,2
1960-61,21,5,12,9,0,OHA-Sr.,12,Galt Terriers,14
1960-61,21,7,0,12,0,WIHL,13,Trail Smoke Eaters,19
1960-61,21,12,46,6,0,Nat-Tm,18,Canada,18
1960-61,21,4,6,2,0,WEC-A,7,Canada,6
1960-61,21,0,0,0,0,AHL,2,Rochester Americans,0
1961-62,22,8,50,16,0,AHL,70,Rochester Americans,24
1962-63,23,4,52,14,0,AHL,70,Rochester Americans,18
1963-64,24,16,41,16,0,AHL,72,Rochester Americans,32
1964-65,25,3,56,18,0,AHL,72,Rochester Americans,21
1965-66,26,5,49,15,0,AHL,67,Rochester Americans,20
1966-67,27,8,56,25,0,AHL,72,Rochester Americans,33
1967-68,28,3,36,22,0,AHL,52,Rochester Americans,25
1968-69,29,6,45,16,0,WHL,74,Vancouver Canucks,22
1969-70,30,0,2,8,0,CHL,10,Iowa Stars,8
1970-71,31,3,28,4,0,AHL,37,Rochester Americans,7
1971-72,32,7,32,17,0,OHA-Sr.,33,Barrie Flyers,24
1972-73,33,3,42,19,0,OHA-Sr.,41,Barrie Flyers,22
1972-73,33,1,0,2,0,AHL,1,Rochester Americans,3
1973-74,34,3,15,12,0,OHA-Sr.,31,Barrie Flyers,15
1973-74,34,0,2,0,0,AHL,1,Rochester Americans,0
1974-75,35,4,28,10,0,OHA-Sr.,40,Barrie Flyers,14
1975-76,36,4,24,16,0,OHA-Sr.,44,Barrie Flyers,20
1976-77,37,1,26,10,0,OHA-Sr.,34,Barrie Flyers,11
1977-78,38,0,16,5,0,OHA-Sr.,38,Barrie Flyers,5
