year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1945-46,17,4,0,0,0,NOJHA,3,Copper Cliff Jr. Redmen,4
1946-47,18,0,0,0,0,OHA-Jr.,5,Toronto Young Rangers,0
1947-48,19,9,14,16,0,EAHL,28,Atlantic City/Baltimore,25
1948-49,20,27,0,18,0,LSLHL,36,Chicoutimi Volants,45
1949-50,21,24,64,26,0,LSLHL,58,Chicoutimi Sagueneens,50
1950-51,22,16,48,36,0,QMHL,54,Chicoutimi Sagueneens,52
1951-52,23,10,25,13,0,QMHL,40,Chicoutimi Sagueneens,23
1952-53,24,35,28,46,0,QMHL,59,Chicoutimi Sagueneens,81
1953-54,25,11,24,32,0,QHL,62,Chicoutimi Sagueneens,43
1954-55,26,25,34,36,0,QHL,60,Chicoutimi Sagueneens,61
1955-56,27,26,20,32,0,QHL,45,Chicoutimi Sagueneens,58
1956-57,28,20,22,18,0,QHL,33,Chicoutimi Sagueneens,38
1957-58,29,20,32,19,0,AHL,63,Rochester Americans,39
1958-59,30,36,40,32,0,QHL,57,Chicoutimi Sagueneens,68
1959-60,31,40,18,36,0,AHL,67,Rochester Americans,76
1960-61,32,10,6,12,0,AHL,21,Rochester Americans,22
1961-62,33,7,14,19,0,AHL,40,Rochester Americans,26
1962-63,34,22,16,25,0,AHL,71,Rochester Americans,47
1963-64,35,23,26,19,0,AHL,59,Rochester Americans,42
1964-65,36,33,28,59,0,AHL,71,Rochester Americans,92
1965-66,37,11,8,20,0,AHL,50,Rochester Americans,31
1966-67,38,31,24,30,0,AHL,71,Rochester Americans,61
