year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1983-84,17,1,24,0,0,OHL,6,London Knights,1
1984-85,18,2,27,2,0,OHL,8,London Knights,4
1985-86,19,1,28,2,0,OHL,4,London Knights,3
1985-86,19,0,60,0,0,AHL,8,Hershey Bears,0
1986-87,20,0,19,0,0,AHL,2,Hershey Bears,0
1988-89,22,0,35,1,0,AHL,4,Halifax Citadels,1
1989-90,23,1,52,0,0,AHL,6,Halifax Citadels,1
1996-97,30,0,14,1,0,AHL,5,St. John\'s Maple Leafs,1
1997-98,31,0,6,1,0,AHL,4,St. John\'s Maple Leafs,1
1998-99,32,0,19,1,0,AHL,5,St. John\'s Maple Leafs,1
