bad_start,league,games_played,team,minutes,age,loses,goals_allowed_precentage,points,goals_allowed,games_started,goals_saved_aboved_average,ties,shutouts,wins,assists,good_start_precentages,goals,good_starts,saves_percentage,year,shots_againist,goals_allowed_average,pim,saves
0,AJHL,3,Edmonton Oil Kings,180,15,0,0,0,21,0,0,0,0,0,0,0,0,0,0,1970-71,0,7.00,0,0
0,WCJHL,37,Edmonton Oil Kings,1738,16,0,0,0,105,0,0,0,3,0,0,0,0,0,0,1971-72,0,3.62,0,0
0,WCJHL,43,Edmonton Oil Kings,2111,17,0,0,0,129,0,0,0,1,0,0,0,0,0,0,1972-73,0,3.67,0,0
0,WCJHL,39,Edmonton Oil Kings,2190,18,0,0,0,163,0,0,0,1,0,0,0,0,0,0,1973-74,0,4.47,0,0
0,WCJHL,65,Edmonton Oil Kings,3706,19,0,0,0,273,0,0,0,1,0,0,0,0,0,0,1974-75,0,4.42,0,0
0,WJC-A,2,Canada,120,19,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1974-75,0,2.50,0,0
0,AHL,16,Providence Reds,896,20,9,0,0,65,0,0,1,0,6,0,0,0,0,0,1975-76,0,4.35,0,0
0,AHL,16,New Haven Nighthawks,947,21,9,0,0,61,0,0,0,0,6,0,0,0,0,0,1976-77,0,3.86,0,0
0,AHL,38,New Haven Nighthawks,2252,22,16,0,0,141,0,0,6,0,16,0,0,0,0,0,1977-78,0,3.76,0,0
0,AHL,3,New Haven Nighthawks,180,23,1,0,0,11,0,0,0,1,2,0,0,0,0,0,1978-79,0,3.67,0,0
0,AHL,32,New Haven Nighthawks,1808,24,18,0,0,108,0,0,5,3,17,0,0,0,0,0,1979-80,0,3.58,0,0
0,AHL,12,New Haven Nighthawks,668,25,5,0,0,35,0,0,1,2,5,0,0,0,0,0,1980-81,0,3.14,0,0
